step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
47,0.9053571224212646,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.16818969996348052, 0.2703401777048818]",[0.9312281608581543]
48,0.9014489650726318,Solve_Succeeded,MPC,10,"[[-0.0762821627300387, -0.1775097970247663], [-0.00550684683463339, -0.02463067467045358], [-0.1253734741940451, -0.005975286751635088]]","[0.8723321557044983, 0.8463057279586792, 0.8219306468963623]"
49,0.8934441208839417,Infeasible_Problem_Detected_FeasibleRestored,MPC,85,"[[-0.1531217194203821, 0.4123443040378826], [-0.3765782823454008, -0.44714683884250433], [0.08792028560309717, 0.013149903143318303]]","[0.8798490166664124, 0.8637290000915527, 0.8482553958892822]"
50,0.8290122747421265,Maximum_Iterations_Exceeded_FeasibleRestored,MPC,100,"[[-0.3082440784971225, -0.1916165768539826], [-0.2808810529233037, -0.209499190686869], [-0.0037457014027088994, -0.021035439738785747]]","[0.8015686273574829, 0.7793852090835571, 0.7553164958953857]"
51,0.7931886911392212,Infeasible_Problem_Detected_FeasibleRestored,MPC,61,"[[-0.2216744583986852, -0.21010663452287598], [-0.32743320305094875, -0.03594265601098402], [-0.11511486329753855, -0.025634827780314097]]","[0.7661613821983337, 0.7478623390197754, 0.7343947291374207]"
52,0.7411259412765503,Solved_To_Acceptable_Level,MPC,14,"[[-0.2717803211162161, -0.04993026151231123], [0.051212994146451155, 0.034313450409944546], [-0.2516496543044657, 0.07366483581931221]]","[0.7092189192771912, 0.6925484538078308, 0.6757228374481201]"
53,0.6616923213005066,Solve_Succeeded,MPC,17,"[[-0.2227764941636301, 0.21733269898441418], [0.019279647346167137, -0.12758142587672489], [-0.013245782403353439, 0.0686062883417532]]","[0.6276032328605652, 0.6109979152679443, 0.6304214000701904]"
54,0.6085103154182434,Solve_Succeeded,MPC,33,"[[-0.016118998085173444, -0.01032556790063654], [0.0031232103687212627, 0.0028947106665680386], [0.0035350118182920463, 0.00480641303705313]]","[0.6529504060745239, 0.6683094501495361, 0.7463537454605103]"
55,0.5926730036735535,Solved_To_Acceptable_Level,MPC,7,"[[-0.016022472149731348, -0.01607587510124205], [0.0029538546329159394, -8.551232385570728e-05], [0.0034513187194346374, 0.0022924440230628557]]","[0.6812731623649597, 0.7511785626411438, 0.8498048186302185]"
56,0.6604403257369995,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-0.09869662936313217, 0.6553984372543268]",[-0.14401422441005707]
57,0.6901169419288635,Solved_To_Acceptable_Level,MPC,21,"[[0.018894614396080988, -0.2563511278021346], [0.0035956325558983353, -0.14669411103641292], [0.0037882081194617672, -0.06310422423085191]]","[0.7664121389389038, 0.8518584370613098, 0.9087591767311096]"
58,0.6771969795227051,Solve_Succeeded,MPC,7,"[[-0.0038917893938582495, -0.20037151445659193], [0.00321937096285508, -0.1101412234157357], [0.0037061271012667043, -0.04140889059566729]]","[0.8126537203788757, 0.8892914652824402, 0.9345908164978027]"
59,0.7674386501312256,Solved_To_Acceptable_Level,MPC,5,"[[0.0014206931157115966, -0.10713343956946245], [0.0034343618545218603, -0.04065813947067326], [0.0037037665838360982, -0.0013294528185643511]]","[0.8995689153671265, 0.9383373856544495, 0.9538914561271667]"
60,0.881576657295227,Solved_To_Acceptable_Level,MPC,9,"[[0.01525474319559776, -0.0020706299991762826], [0.0036216144887361488, 0.010044838241894819], [0.0035611254132316464, 0.00679915203711798]]","[0.9425573945045471, 0.9577008485794067, 0.9670831561088562]"
61,0.9350099563598633,Solve_Succeeded,MPC,16,"[[0.024198595175320966, 0.04313845421021428], [0.003676819544304127, 0.01958249160340353], [0.0037404325416512045, 0.011424790999159998]]","[0.9596277475357056, 0.9678572416305542, 0.969829261302948]"
62,0.9509048461914062,Solve_Succeeded,MPC,18,"[[0.027131207677688472, 0.03237796125740245], [0.00375452620843688, 0.019943394460803437], [0.0036231043434563266, 0.015423609550507335]]","[0.9680942296981812, 0.9698099493980408, 0.9705295562744141]"
