step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
35,0.8824303150177002,Solved_To_Acceptable_Level,MPC,7,"[[0.03146457132862907, -0.020021686157601346], [-0.002476784498073898, -0.008716425054445028], [-0.003311801595492987, -0.004428260334402115]]","[0.9064633846282959, 0.9351642727851868, 0.9643319845199585]"
36,0.894517183303833,Solved_To_Acceptable_Level,MPC,6,"[[0.08475609109252753, -0.017313545729111916], [-0.0005446617930367098, -0.008243022280059997], [-0.0034574855433636745, -0.004099376884960473]]","[0.9384974837303162, 0.966461718082428, 0.9818627834320068]"
37,0.9104760885238647,Solved_To_Acceptable_Level,MPC,6,"[[0.06796928976048958, -0.017204953335680263], [-0.0011248190076846285, -0.008565722795855301], [-0.003248298693662773, -0.004808439994904547]]","[0.96015465259552, 0.982506513595581, 0.9881284236907959]"
38,0.9592306017875671,Solve_Succeeded,MPC,8,"[[0.02651119025188731, -0.017496217496192793], [-0.0023540979955467543, -0.012504586267818925], [-0.003564515265834735, -0.006232040669987405]]","[0.9835115671157837, 0.9900251626968384, 0.9922103881835938]"
39,0.9750706553459167,Solve_Succeeded,MPC,11,"[[-0.006255977828982895, -0.020938717021129236], [-0.003483357122479663, -0.01365966648369258], [-0.0035696500283700907, -0.008777817061387848]]","[0.9888259172439575, 0.992135226726532, 0.9930793642997742]"
40,0.987834095954895,Solve_Succeeded,MPC,15,"[[-0.02285067293548244, -0.023674982100570625], [-0.003954846694014886, -0.016349641979020585], [-0.0036831801357737433, -0.010112704841375398]]","[0.992235541343689, 0.9933375716209412, 0.9937058687210083]"
41,0.9910038113594055,Solve_Succeeded,MPC,13,"[[-0.02843495819896581, -0.030045881943551685], [-0.004120512315187877, -0.016792803478997965], [-0.0037799304985193932, -0.008426199630938805]]","[0.9931853413581848, 0.9937374591827393, 0.9939752817153931]"
42,0.9928780794143677,Solved_To_Acceptable_Level,MPC,13,"[[-0.028901795776182605, -0.033660572845490594], [-0.004312357434518141, -0.02183245698088066], [-0.003631199726650192, -0.012183385561363832]]","[0.9937650561332703, 0.9940106272697449, 0.9941009879112244]"
43,0.9934811592102051,Solved_To_Acceptable_Level,MPC,11,"[[-0.02898246249561823, -0.036866830636866625], [-0.003946822404810347, -0.03585175526749031], [-0.0037184227967231973, -0.020257877230391557]]","[0.9939966797828674, 0.9941326975822449, 0.9941768050193787]"
44,0.9938663840293884,Solved_To_Acceptable_Level,MPC,12,"[[-0.02666856825237123, -0.05656718130658183], [-0.004134141125351867, -0.04337691364548706], [-0.0037565230659074474, -0.024345208935915595]]","[0.9941481947898865, 0.9942256808280945, 0.9942390322685242]"
45,0.994062602519989,Solve_Succeeded,MPC,11,"[[-0.025494905353302712, -0.06863567952806254], [-0.004074493489739881, -0.05617447168864688], [-0.0035484768751065697, -0.02920489653388696]]","[0.9942459464073181, 0.9943075776100159, 0.9943135380744934]"
46,0.9941768050193787,Solve_Succeeded,MPC,11,"[[-0.02349312025189161, -0.08290802384553851], [-0.003953849147968902, -0.06167460366846009], [-0.0036090884212552077, -0.03166742257869274]]","[0.9943291544914246, 0.9943854212760925, 0.9943888187408447]"
47,0.9942749738693237,Solve_Succeeded,MPC,11,"[[-0.021595331352241467, -0.09239225938407057], [-0.003881068280169828, -0.0660462934072346], [-0.0036345839017875503, -0.03355275723219577]]","[0.994412899017334, 0.9944683909416199, 0.9944677948951721]"
48,0.9943567514419556,Solve_Succeeded,MPC,11,"[[-0.019959594168017042, -0.09821030944598355], [-0.0037977647847979032, -0.06906735397665865], [-0.003704829520840625, -0.03449679151387711]]","[0.9944959282875061, 0.9945480823516846, 0.9945476651191711]"
49,0.9944446682929993,Solved_To_Acceptable_Level,MPC,10,"[[-0.017982649251787046, -0.11381195411253377], [-0.003887760384122917, -0.06896131222565306], [-0.004102234588024636, -0.0289620165806955]]","[0.9945931434631348, 0.9946405291557312, 0.9946340918540955]"
50,0.9945470094680786,Solved_To_Acceptable_Level,MPC,10,"[[-0.01828422030242476, -0.11574212186246463], [-0.0032641137554212177, -0.06756267429817009], [-0.003983656282463695, -0.029311088282375573]]","[0.9946780204772949, 0.9947212934494019, 0.9947187304496765]"
51,0.9946458339691162,Solve_Succeeded,MPC,13,"[[-0.017158636300569814, -0.0994814857518114], [-0.003904585548038504, -0.0638014835022787], [-0.00361220156229646, -0.031164422247493773]]","[0.9947411417961121, 0.9947812557220459, 0.9947724342346191]"
52,0.9947193264961243,Solved_To_Acceptable_Level,MPC,10,"[[-0.015703413591657226, -0.1020253120480526], [-0.004547579367168554, -0.06295095910152378], [-0.0026767757455622605, -0.02805310347009354]]","[0.9948068857192993, 0.9948194622993469, 0.9948097467422485]"
53,0.994788408279419,Solved_To_Acceptable_Level,MPC,10,"[[-0.016474738259503338, -0.0971785497018293], [-0.0047382682872421054, -0.060041970167227884], [-0.0016254853099827973, -0.027317461561518656]]","[0.9948329925537109, 0.9948479533195496, 0.9948379397392273]"
54,0.9948533177375793,Solved_To_Acceptable_Level,MPC,10,"[[-0.016555627132589384, -0.09643249107148857], [-0.004715267309033564, -0.05910578487262316], [-0.0027391706861398524, -0.026434005433176356]]","[0.9948630928993225, 0.9948737621307373, 0.9948644042015076]"
55,0.9949026107788086,Solved_To_Acceptable_Level,MPC,9,"[[-0.016138923567608775, -0.09460403697626807], [-0.0029836095616351155, -0.05654958962416388], [-0.004282912583045471, -0.023565356346870188]]","[0.99488765001297, 0.9949018955230713, 0.9948974847793579]"
56,0.9949403405189514,Solved_To_Acceptable_Level,MPC,9,"[[-0.01588749795272884, -0.08706808862696026], [-0.0030001713891441833, -0.05162387591083413], [-0.004313279192626023, -0.021410433485610187]]","[0.9949173331260681, 0.9949397444725037, 0.9949364066123962]"
57,0.9949766397476196,Solved_To_Acceptable_Level,MPC,9,"[[-0.01591895963252055, -0.07806854094091369], [-0.003003009360811016, -0.046480332322461355], [-0.004457706187195806, -0.019869473430267716]]","[0.9949524402618408, 0.9949731826782227, 0.9949706196784973]"
58,0.9950099587440491,Solved_To_Acceptable_Level,MPC,9,"[[-0.015949830829698756, -0.06948142405923817], [-0.003127353534057919, -0.041152113419262636], [-0.004501348328674894, -0.017279261643070434]]","[0.9949849247932434, 0.9950041770935059, 0.9950021505355835]"
59,0.9950439929962158,Solved_To_Acceptable_Level,MPC,9,"[[-0.016032169544305235, -0.06106315754909289], [-0.0031529561442274197, -0.03575891596171148], [-0.004602622963589387, -0.01469017104268474]]","[0.9950146079063416, 0.9950317740440369, 0.9950292706489563]"
60,0.9950767755508423,Solved_To_Acceptable_Level,MPC,9,"[[-0.016090986762806563, -0.053839106330801495], [-0.003174950969926577, -0.03153896875064027], [-0.004623904022775662, -0.013169158063130041]]","[0.9950416684150696, 0.9950615167617798, 0.9950624108314514]"
61,0.9951107501983643,Solved_To_Acceptable_Level,MPC,9,"[[-0.016104074135238556, -0.047005316616434305], [-0.0032162776224371054, -0.027776896696872083], [-0.004630034100165733, -0.011683715787597268]]","[0.9950731992721558, 0.9950935244560242, 0.9950919151306152]"
62,0.9951441287994385,Solved_To_Acceptable_Level,MPC,9,"[[-0.016150319539644464, -0.041538835828954616], [-0.0032068688278345543, -0.024149357424503956], [-0.004651814420117315, -0.010234541755931137]]","[0.9951044321060181, 0.9951195120811462, 0.9951134324073792]"
63,0.9951765537261963,Solved_To_Acceptable_Level,MPC,9,"[[-0.01612481546256272, -0.03503150577989481], [-0.00328760922430386, -0.02037788238133988], [-0.0046395744073333255, -0.008460508419777553]]","[0.995128870010376, 0.9951366186141968, 0.9951125383377075]"
64,0.9952024221420288,Solved_To_Acceptable_Level,MPC,9,"[[-0.01615493975481368, -0.029777510862169888], [-0.0033828432674860103, -0.017265721615409912], [-0.004581192766413411, -0.007155724178044757]]","[0.9951455593109131, 0.9951322674751282, 0.995054304599762]"
65,0.9952220320701599,Solved_To_Acceptable_Level,MPC,9,"[[-0.016200740332049053, -0.02470402467877874], [-0.0033941971873341858, -0.01411978970959979], [-0.00462483928571153, -0.005789206074079313]]","[0.9951387643814087, 0.9950661659240723, 0.9948258996009827]"
66,0.9952238202095032,Solved_To_Acceptable_Level,MPC,10,"[[-0.01652486236563781, -0.021405619795381334], [-0.002828281051350311, -0.009923831366667139], [-0.005239455298385284, -0.004530336191594383]]","[0.9950689673423767, 0.9948142766952515, 0.9937946200370789]"
67,0.9951784014701843,Solve_Succeeded,MPC,5,"[[-0.015886669196660156, -0.01599045344031458], [-0.003916614120083702, -0.00924789491031598], [-0.0038173251933308967, -0.0036023417424618075]]","[0.9948548078536987, 0.9946677088737488, 0.9938230514526367]"
68,0.9949797987937927,Solve_Succeeded,MPC,8,"[[-0.014804113486207483, -0.018763502375107616], [0.016417096687365372, -0.013728830256609077], [-0.26408186758660895, 0.08488135269930625]]","[0.9944539666175842, 0.9939305782318115, 0.9922923445701599]"
69,0.9942819476127625,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-0.23970578110469865, 0.01462336137751092]",[0.9935445189476013]
70,0.9934856295585632,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.012575616446263694, -0.22302505200965608]",[0.9752196669578552]
